Entity,Code,Year,height
Australia,AUS,1850,170
Australia,AUS,1860,170.6
Australia,AUS,1870,170.1
Australia,AUS,1880,171.1
Australia,AUS,1890,171.3
Australia,AUS,1900,172.3
Australia,AUS,1910,172.7
Australia,AUS,1920,172.8
Australia,AUS,1960,176.3
Australia,AUS,1970,178.4
Indonesia,IDN,1810,161.3
Indonesia,IDN,1840,160.4
Indonesia,IDN,1850,160.6
Indonesia,IDN,1860,160.4
Indonesia,IDN,1870,158.1
Indonesia,IDN,1880,158.6
Indonesia,IDN,1890,158.8
Indonesia,IDN,1900,159
Indonesia,IDN,1910,159.6
Indonesia,IDN,1920,160.9
Indonesia,IDN,1930,160.7
Indonesia,IDN,1940,160.4
Indonesia,IDN,1950,161.7
Indonesia,IDN,1960,162.4
Indonesia,IDN,1970,163.1
Indonesia,IDN,1980,164
Papua New Guinea,PNG,1880,152.4
Papua New Guinea,PNG,1920,155.6
Papua New Guinea,PNG,1930,152.4
Papua New Guinea,PNG,1940,158.9
Papua New Guinea,PNG,1980,160.9
New Zealand,NZL,1860,172.4
New Zealand,NZL,1870,172.4
New Zealand,NZL,1880,172.7
New Zealand,NZL,1890,172
New Zealand,NZL,1930,174.6
